[2022-09-24 21:20:47] Saving 7 values; 290 bytes
[2022-09-24 21:20:48] Saving 7 values; 290 bytes
[2022-09-24 21:23:41] Loaded 7 values
[2022-09-24 21:23:41] Backed up C:/Users/никита/AppData/Roaming/Mindustry/settings.bin to C:/Users/никита/AppData/Roaming/Mindustry/settings_backup.bin (290 bytes)
[2022-09-24 21:25:23] Saving 19 values; 491 bytes
[2022-09-24 21:25:52] Saving 20 values; 503 bytes
[2022-09-24 21:25:59] Saving 21 values; 513 bytes
[2022-09-24 21:25:59] Saving 21 values; 514 bytes
[2022-09-24 21:26:00] Saving 21 values; 515 bytes
[2022-09-24 21:26:00] Saving 21 values; 516 bytes
[2022-09-24 21:26:00] Saving 21 values; 517 bytes
[2022-09-24 21:26:00] Saving 21 values; 518 bytes
[2022-09-24 21:26:02] Saving 21 values; 519 bytes
[2022-09-24 21:26:02] Saving 21 values; 520 bytes
[2022-09-24 21:26:02] Saving 21 values; 521 bytes
[2022-09-24 21:26:02] Saving 21 values; 522 bytes
[2022-09-24 21:26:15] Saving 22 values; 543 bytes
[2022-09-24 21:26:15] Saving 22 values; 543 bytes
[2022-09-24 21:26:16] Saving 23 values; 583 bytes
[2022-09-24 21:26:16] Saving 23 values; 583 bytes
[2022-09-24 21:26:55] Saving 23 values; 583 bytes
[2022-09-24 21:26:55] Saving 24 values; 623 bytes
[2022-09-24 21:26:56] Saving 24 values; 623 bytes
[2022-09-24 21:26:59] Saving 24 values; 623 bytes
[2022-09-24 21:27:13] Loaded 24 values
[2022-09-24 21:27:13] Backed up C:/Users/никита/AppData/Roaming/Mindustry/settings.bin to C:/Users/никита/AppData/Roaming/Mindustry/settings_backup.bin (623 bytes)
[2022-09-24 21:27:29] Saving 24 values; 623 bytes
[2022-09-24 21:27:54] Loaded 24 values
[2022-09-24 21:27:54] Backed up C:/Users/никита/AppData/Roaming/Mindustry/settings.bin to C:/Users/никита/AppData/Roaming/Mindustry/settings_backup.bin (623 bytes)
[2022-09-24 21:30:11] Saving 26 values; 660 bytes
[2022-09-24 21:30:39] Saving 26 values; 660 bytes
[2022-09-24 21:30:40] Saving 27 values; 700 bytes
[2022-09-24 21:30:42] Saving 27 values; 700 bytes
[2022-09-24 21:31:06] Saving 28 values; 757 bytes
[2022-09-24 21:31:06] Saving 29 values; 778 bytes
[2022-09-24 21:31:06] Saving 29 values; 778 bytes
[2022-09-24 21:31:06] Saving 29 values; 778 bytes
[2022-09-24 21:31:07] Saving 30 values; 818 bytes
[2022-09-24 21:31:09] Saving 30 values; 818 bytes
[2022-09-24 21:31:12] Saving 30 values; 818 bytes
[2022-09-24 21:31:33] Saving 31 values; 847 bytes
[2022-09-24 21:31:35] Saving 31 values; 847 bytes
[2022-09-24 21:31:36] Saving 32 values; 875 bytes
[2022-09-24 21:31:43] Saving 32 values; 875 bytes
[2022-09-24 21:31:43] Saving 33 values; 917 bytes
[2022-09-24 21:31:54] Saving 33 values; 917 bytes
[2022-09-24 21:42:20] Saving 39 values; 1010 bytes
[2022-09-24 21:42:20] Saving 39 values; 1010 bytes
[2022-09-24 21:42:30] Saving 39 values; 1010 bytes
[2022-09-24 21:42:31] Saving 39 values; 1010 bytes
[2022-09-24 21:42:45] Saving 39 values; 1010 bytes
[2022-09-24 21:42:45] Saving 39 values; 1010 bytes
[2022-09-24 21:42:45] Saving 39 values; 1010 bytes
[2022-09-24 21:42:45] Saving 39 values; 1010 bytes
[2022-09-24 21:42:46] Saving 40 values; 1050 bytes
[2022-09-24 21:42:48] Saving 40 values; 1050 bytes
[2022-09-24 21:45:58] Saving 41 values; 1065 bytes
[2022-09-24 21:45:58] Saving 41 values; 1065 bytes
[2022-09-24 21:46:05] Saving 41 values; 1065 bytes
[2022-09-24 21:46:06] Saving 42 values; 1105 bytes
[2022-09-24 21:46:08] Saving 42 values; 1105 bytes
[2022-09-24 21:55:39] Saving 44 values; 1146 bytes
[2022-09-24 21:55:39] Saving 44 values; 1146 bytes
[2022-09-24 21:55:52] Saving 44 values; 1146 bytes
[2022-09-24 21:55:53] Saving 44 values; 1146 bytes
[2022-09-24 21:56:00] Saving 44 values; 1146 bytes
[2022-09-24 21:56:00] Saving 44 values; 1146 bytes
[2022-09-24 21:56:00] Saving 44 values; 1146 bytes
[2022-09-24 21:56:01] Saving 44 values; 1146 bytes
[2022-09-24 21:58:07] Saving 44 values; 1146 bytes
[2022-09-24 21:58:08] Saving 44 values; 1146 bytes
[2022-09-24 21:59:17] Saving 44 values; 1146 bytes
[2022-09-24 21:59:18] Saving 44 values; 1146 bytes
[2022-09-24 22:00:32] Saving 44 values; 1146 bytes
[2022-09-24 22:00:34] Saving 44 values; 1146 bytes
[2022-09-24 22:03:35] Saving 44 values; 1146 bytes
[2022-09-24 22:03:36] Saving 44 values; 1146 bytes
[2022-09-24 22:05:06] Saving 44 values; 1146 bytes
[2022-09-24 22:05:08] Saving 44 values; 1146 bytes
[2022-09-24 22:07:13] Saving 44 values; 1146 bytes
[2022-09-24 22:07:14] Saving 44 values; 1146 bytes
[2022-09-24 22:09:11] Saving 44 values; 1146 bytes
